Start time          	End time            	ID
--------------------	--------------------	--
24-Jul-2009 16:11:38	24-Jul-2009 16:45:13	33
24-Jul-2009 16:46:19	24-Jul-2009 18:32:57	1
24-Jul-2009 18:33:15	24-Jul-2009 19:10:50	34
24-Jul-2009 19:46:28	24-Jul-2009 20:12:30	29
24-Jul-2009 20:21:50	24-Jul-2009 20:39:39	15
24-Jul-2009 20:42:54	24-Jul-2009 20:46:36	31
24-Jul-2009 20:46:57	24-Jul-2009 20:47:14	17
24-Jul-2009 20:47:30	24-Jul-2009 21:01:02	31
24-Jul-2009 21:03:41	24-Jul-2009 21:15:02	24
24-Jul-2009 21:15:45	24-Jul-2009 21:18:58	36
24-Jul-2009 21:19:54	24-Jul-2009 21:22:36	6
24-Jul-2009 21:25:20	25-Jul-2009 02:46:34	1
25-Jul-2009 02:54:18	25-Jul-2009 06:54:01	10
25-Jul-2009 06:55:52	25-Jul-2009 06:56:41	17
25-Jul-2009 07:04:19	25-Jul-2009 11:08:25	10
25-Jul-2009 11:08:51	25-Jul-2009 11:09:45	4
25-Jul-2009 11:10:27	25-Jul-2009 11:12:54	38
25-Jul-2009 11:13:25	25-Jul-2009 11:29:22	13
25-Jul-2009 11:29:53	25-Jul-2009 11:50:47	32
25-Jul-2009 11:51:31	25-Jul-2009 11:54:32	4
25-Jul-2009 12:25:19	25-Jul-2009 12:32:56	40
25-Jul-2009 13:03:31	25-Jul-2009 13:13:59	5
25-Jul-2009 13:14:03	25-Jul-2009 13:14:36	11
25-Jul-2009 13:15:06	25-Jul-2009 13:17:02	6
25-Jul-2009 13:22:37	25-Jul-2009 14:26:07	35
25-Jul-2009 14:29:42	25-Jul-2009 14:30:28	17
25-Jul-2009 14:30:33	25-Jul-2009 15:04:52	40
25-Jul-2009 15:12:05	26-Jul-2009 03:33:10	1
26-Jul-2009 03:33:25	26-Jul-2009 09:32:18	10
26-Jul-2009 09:32:21	26-Jul-2009 09:32:41	17
26-Jul-2009 09:32:43	26-Jul-2009 11:38:58	10
26-Jul-2009 12:09:36	26-Jul-2009 12:21:48	13
26-Jul-2009 12:22:20	26-Jul-2009 12:43:27	32
26-Jul-2009 12:44:25	26-Jul-2009 12:47:22	37
26-Jul-2009 14:05:28	26-Jul-2009 14:09:15	4
26-Jul-2009 14:27:05	26-Jul-2009 14:45:43	40
26-Jul-2009 15:41:14	26-Jul-2009 15:41:18	4
26-Jul-2009 15:41:34	26-Jul-2009 15:49:58	5
26-Jul-2009 15:50:03	26-Jul-2009 15:54:07	11
26-Jul-2009 15:54:27	26-Jul-2009 15:56:07	6
26-Jul-2009 15:59:41	26-Jul-2009 16:18:35	40
26-Jul-2009 16:19:19	27-Jul-2009 04:58:12	1
27-Jul-2009 04:58:44	27-Jul-2009 12:15:38	10
27-Jul-2009 05:02:46	27-Jul-2009 05:03:24	4
27-Jul-2009 12:17:38	27-Jul-2009 12:17:42	4
27-Jul-2009 12:30:08	27-Jul-2009 12:47:48	5
27-Jul-2009 12:49:23	27-Jul-2009 12:51:54	11
27-Jul-2009 12:53:13	27-Jul-2009 12:54:03	17
27-Jul-2009 13:18:13	27-Jul-2009 23:04:32	1
27-Jul-2009 23:22:11	27-Jul-2009 23:22:51	6
27-Jul-2009 23:25:08	27-Jul-2009 23:25:50	4
27-Jul-2009 23:25:10	28-Jul-2009 09:34:42	10
28-Jul-2009 09:56:17	28-Jul-2009 09:57:11	4
28-Jul-2009 10:12:32	28-Jul-2009 10:12:46	11
28-Jul-2009 10:12:57	28-Jul-2009 10:23:51	13
28-Jul-2009 10:18:16	28-Jul-2009 10:20:17	40
28-Jul-2009 10:23:57	28-Jul-2009 10:29:04	32
28-Jul-2009 10:50:53	28-Jul-2009 11:00:10	5
28-Jul-2009 11:00:53	28-Jul-2009 11:04:29	11
28-Jul-2009 11:06:42	28-Jul-2009 18:02:12	1
28-Jul-2009 18:04:18	28-Jul-2009 18:13:58	42
28-Jul-2009 18:16:44	28-Jul-2009 18:48:18	15
28-Jul-2009 18:48:23	28-Jul-2009 18:56:29	31
28-Jul-2009 19:16:35	28-Jul-2009 19:20:34	40
28-Jul-2009 19:21:28	28-Jul-2009 20:07:52	40
28-Jul-2009 20:14:11	28-Jul-2009 20:14:55	44
28-Jul-2009 20:46:02	28-Jul-2009 21:38:48	40
28-Jul-2009 22:35:13	28-Jul-2009 22:36:00	6
