Start time          	End time            	ID
--------------------	--------------------	--
19-Nov-2008 22:49:00	19-Nov-2008 22:50:00	1
19-Nov-2008 22:50:40	19-Nov-2008 22:51:45	4
19-Nov-2008 22:59:25	19-Nov-2008 23:00:00	17
19-Nov-2008 23:00:50	20-Nov-2008 01:25:00	28
20-Nov-2008 00:14:50	20-Nov-2008 00:15:20	17
20-Nov-2008 00:39:00	20-Nov-2008 00:40:00	16
20-Nov-2008 01:30:30	20-Nov-2008 01:31:10	7
20-Nov-2008 01:31:30	20-Nov-2008 01:36:20	6
20-Nov-2008 01:37:00	20-Nov-2008 09:31:40	10
20-Nov-2008 08:48:40	20-Nov-2008 08:49:40	7
20-Nov-2008 09:32:50	20-Nov-2008 09:37:10	11
20-Nov-2008 10:41:50	20-Nov-2008 10:47:00	13
20-Nov-2008 10:47:00	20-Nov-2008 11:02:10	3
20-Nov-2008 11:03:00	20-Nov-2008 11:04:00	4
20-Nov-2008 13:11:10	20-Nov-2008 13:22:30	14
20-Nov-2008 13:18:50	20-Nov-2008 13:20:40	4
20-Nov-2008 13:22:30	20-Nov-2008 13:34:00	3
20-Nov-2008 13:35:20	20-Nov-2008 14:00:00	28
20-Nov-2008 15:28:00	20-Nov-2008 17:20:00	1
20-Nov-2008 17:22:00	20-Nov-2008 17:23:20	4
20-Nov-2008 17:27:20	20-Nov-2008 17:55:00	15
20-Nov-2008 17:55:00	20-Nov-2008 18:30:30	3
20-Nov-2008 18:14:30	20-Nov-2008 19:53:00	28
20-Nov-2008 19:50:10	20-Nov-2008 19:51:15	4
20-Nov-2008 19:57:10	20-Nov-2008 22:38:00	1
21-Nov-2008 00:44:30	21-Nov-2008 00:45:00	7
21-Nov-2008 00:45:00	21-Nov-2008 00:50:00	12
21-Nov-2008 00:51:00	21-Nov-2008 11:20:00	10
21-Nov-2008 06:01:00	21-Nov-2008 06:04:40	7
21-Nov-2008 11:21:30	21-Nov-2008 11:22:00	7
21-Nov-2008 11:24:30	21-Nov-2008 11:27:40	11
21-Nov-2008 11:33:30	21-Nov-2008 11:41:20	13
21-Nov-2008 11:41:20	21-Nov-2008 12:03:30	3
21-Nov-2008 13:08:00	21-Nov-2008 13:11:30	28
21-Nov-2008 13:42:40	21-Nov-2008 13:47:30	14
21-Nov-2008 13:47:40	21-Nov-2008 14:03:50	3
21-Nov-2008 14:37:50	21-Nov-2008 14:38:40	17
21-Nov-2008 14:52:20	21-Nov-2008 14:55:00	4
21-Nov-2008 15:43:00	21-Nov-2008 16:29:40	5
21-Nov-2008 16:30:00	21-Nov-2008 16:33:30	11
21-Nov-2008 16:43:50	21-Nov-2008 17:29:30	1
21-Nov-2008 18:17:15	21-Nov-2008 18:22:10	6
21-Nov-2008 18:22:10	21-Nov-2008 18:23:10	7
21-Nov-2008 18:23:30	21-Nov-2008 18:24:10	12
21-Nov-2008 18:30:30	21-Nov-2008 21:21:30	1
21-Nov-2008 21:22:30	21-Nov-2008 21:23:20	4
21-Nov-2008 21:30:30	21-Nov-2008 21:32:00	1
21-Nov-2008 22:30:20	21-Nov-2008 22:31:40	16
22-Nov-2008 00:22:22	22-Nov-2008 01:27:15	28
22-Nov-2008 01:28:20	22-Nov-2008 01:29:00	7
22-Nov-2008 01:29:20	22-Nov-2008 01:33:50	6
22-Nov-2008 01:36:30	22-Nov-2008 09:37:10	10
22-Nov-2008 09:37:20	22-Nov-2008 09:38:20	7
22-Nov-2008 09:38:50	22-Nov-2008 09:45:10	5
22-Nov-2008 09:45:30	22-Nov-2008 09:47:30	11
22-Nov-2008 10:21:00	22-Nov-2008 10:26:00	13
22-Nov-2008 10:26:00	22-Nov-2008 10:38:00	3
22-Nov-2008 10:44:30	22-Nov-2008 10:46:30	4
22-Nov-2008 10:56:40	22-Nov-2008 12:29:30	1
22-Nov-2008 12:32:00	22-Nov-2008 12:50:30	14
22-Nov-2008 12:50:50	22-Nov-2008 12:57:00	3
22-Nov-2008 13:04:00	22-Nov-2008 13:09:00	1
22-Nov-2008 13:10:00	22-Nov-2008 17:28:00	1
22-Nov-2008 17:46:10	22-Nov-2008 18:03:00	15
22-Nov-2008 18:03:00	22-Nov-2008 18:16:40	3
22-Nov-2008 18:21:30	22-Nov-2008 18:35:00	9
22-Nov-2008 18:36:00	22-Nov-2008 20:08:00	28
22-Nov-2008 20:10:30	22-Nov-2008 20:11:30	4
22-Nov-2008 20:13:30	23-Nov-2008 02:02:30	1
23-Nov-2008 02:11:20	23-Nov-2008 09:23:30	10
23-Nov-2008 05:28:50	23-Nov-2008 05:29:50	7
23-Nov-2008 09:24:00	23-Nov-2008 09:26:40	7
23-Nov-2008 09:26:00	23-Nov-2008 09:30:00	5
23-Nov-2008 09:33:30	23-Nov-2008 09:37:30	11
23-Nov-2008 09:37:40	23-Nov-2008 09:40:20	6
23-Nov-2008 09:44:10	23-Nov-2008 16:14:10	1
23-Nov-2008 16:14:30	23-Nov-2008 16:15:20	4
23-Nov-2008 16:44:20	23-Nov-2008 17:10:50	28
23-Nov-2008 17:11:30	23-Nov-2008 21:55:20	1
23-Nov-2008 21:56:45	23-Nov-2008 21:58:20	4
23-Nov-2008 22:00:30	24-Nov-2008 00:01:20	28
23-Nov-2008 23:14:00	23-Nov-2008 23:15:10	17
24-Nov-2008 00:15:20	24-Nov-2008 00:16:30	7
24-Nov-2008 00:16:30	24-Nov-2008 00:23:25	9
24-Nov-2008 00:25:50	24-Nov-2008 07:28:30	10
24-Nov-2008 07:29:30	24-Nov-2008 07:30:20	7
24-Nov-2008 07:34:10	24-Nov-2008 07:57:10	13
24-Nov-2008 07:43:10	24-Nov-2008 07:45:30	11
24-Nov-2008 07:57:10	24-Nov-2008 08:08:10	3
24-Nov-2008 09:34:00	24-Nov-2008 09:38:30	6
24-Nov-2008 09:39:20	24-Nov-2008 09:39:50	7
24-Nov-2008 11:19:30	24-Nov-2008 11:25:00	17
24-Nov-2008 11:26:40	24-Nov-2008 12:09:40	28
